File,Total trades,Winning trades,Losing trades,Win rate,Average return per trade,Median return per trade,Max return,Min return,Average trade duration (days),Median trade duration (days),Max trade duration (days),Min trade duration (days),Total cumulative return,Maximum drawdown,Profit factor,Expectancy,Return volatility (std dev)
APOLLOHOSP_ohlcv.csv,94,81,13,0.8617021276595744,0.10425163409954143,0.07955217551697844,0.5623534591541393,-0.15600157740859505,57.723404255319146,43.5,190,2,6348.646224427656,44.424462884881095,14.542388237966538,0.07541607573158315,0.12609840986980891
HINDUNILVR_ohlcv.csv,171,147,24,0.8596491228070176,0.24895645135251837,0.12550644102238984,1.2075830194545154,-0.2484108520356451,256.4093567251462,160.0,674,13,259585423164463.1,23.92401719316134,21.79876948818532,0.17907393869216232,0.3173268170282002
HCLTECH_ohlcv.csv,114,97,17,0.8508771929824561,0.1211025487340818,0.07812071663054934,1.6979609784218168,-0.5218828432470649,92.73684210526316,59.5,309,6,42094.28666099173,41.744119909738615,6.416578645164926,0.08498424472567143,0.24359588404264318
KOTAKBANK_ohlcv.csv,129,109,20,0.8449612403100775,0.15628842587533126,0.09618863503290757,2.268026798348205,-0.43964783002188745,118.70542635658914,86.0,383,15,5531773.762831819,337.78235618865165,9.836748316340497,0.10782689847212774,0.31467681059321895
INDIGO_ohlcv.csv,56,47,9,0.8392857142857143,0.28181856408912814,0.16704310869849098,1.3934158132392285,-0.30100683213795293,147.625,151.5,340,13,125363.88347493432,1.2088958685591962,15.31782309122962,0.1912340256319084,0.39028691733437587
HDFCBANK_ohlcv.csv,153,128,25,0.8366013071895425,0.13308620731074014,0.09501396692593714,1.0191263442350604,-0.24630918586718217,91.00653594771242,82.0,285,7,27163377.172349326,269.4891749658547,11.304148396615911,0.08959398269938715,0.19752500279147803
ICICIBANK_ohlcv.csv,146,122,24,0.8356164383561644,0.20608301673482277,0.16142496278708313,1.6770833108545884,-0.4133510791388626,133.1986301369863,138.0,328,3,13600671959.967182,14.365186656969792,8.984981643150295,0.1383296961644701,0.2989776576959225
PIDILITIND_ohlcv.csv,108,90,18,0.8333333333333334,0.17178476561191555,0.12281848255281706,1.4136857983397788,-0.32660838779396373,118.92592592592592,92.0,378,2,2517068.12793879,199.4749721088898,9.369293751827875,0.11452317707461038,0.2649039091057682
ASIANPAINT_ohlcv.csv,109,89,20,0.8165137614678899,0.0771629230409644,0.07072139449675775,0.6247648238361623,-0.231620203683063,56.23853211009175,52.0,147,6,1842.3820716192956,79.01526192005059,7.089075249819174,0.04884625403510591,0.11317088480380656
NESTLEIND_ohlcv.csv,76,62,14,0.8157894736842105,0.07880939769389769,0.07390975351870802,0.43349555941234624,-0.08836309403096158,57.223684210526315,55.0,150,9,240.09291031467097,1.2754282846041232,11.46896929630839,0.04977435643825118,0.09505360995979772
TCS_ohlcv.csv,114,93,21,0.8157894736842105,0.13483115939784493,0.0788092355735911,2.2988214545273893,-0.4756995200164509,109.10526315789474,72.0,392,3,90156.20970070323,41.978913607841776,7.018939974667276,0.08515652172495469,0.3129709220613137
SHREECEM_ohlcv.csv,124,101,23,0.8145161290322581,0.16502425433015858,0.08965222638124135,3.1674088371085443,-0.5662507431636981,88.89516129032258,73.0,243,10,891732.1236404219,421.5396628883342,6.549939410971226,0.10380557933671267,0.4237688458039675
COLPAL_ohlcv.csv,111,90,21,0.8108108108108109,0.11053840180338359,0.06200964129826111,0.7902938198909428,-0.23233714553127452,80.55855855855856,80.0,211,8,38172.57130748583,30.62942354936429,11.285996875905242,0.06871306058048171,0.16439508491179963
SBILIFE_ohlcv.csv,37,30,7,0.8108108108108109,0.08218154667116234,0.0590014287887865,0.5574369466259252,-0.1837955384645216,63.5945945945946,56.0,177,2,13.511404329765423,0.8305206543997956,7.89144727944669,0.05108582630910092,0.13072766007087458
TORNTPHARM_ohlcv.csv,103,83,20,0.8058252427184466,0.11817689272615844,0.07546213071579667,0.9499526057953811,-0.26816529773518283,78.88349514563107,76.0,221,3,26427.624127411294,66.44577088564972,10.397825658977775,0.07228295380337846,0.19543912674794942
DABUR_ohlcv.csv,108,87,21,0.8055555555555556,0.10233023398692301,0.07264346979710604,1.0146065554271733,-0.1648488900355272,112.07407407407408,71.0,447,6,15468.238280309148,33.470315031535876,12.91685511856033,0.06253514299200852,0.15320127085700327
SIEMENS_ohlcv.csv,159,127,32,0.7987421383647799,0.21136227655826761,0.14661476924455058,2.445123277711601,-0.7472491723142323,157.1320754716981,138.0,446,7,23738901913.990685,341.0111108105598,7.434512118759218,0.12628563693732975,0.37393169228541717
CIPLA_ohlcv.csv,163,130,33,0.7975460122699386,0.21601798530872185,0.11683099239483129,1.7533965367331825,-0.22808086298288752,205.23926380368098,121.0,622,4,368573053051.1529,56.269970819060056,15.539378049444215,0.12855058021439275,0.35170232629634385
PETRONET_ohlcv.csv,127,101,26,0.7952755905511811,0.13627019140438423,0.08006753274083801,1.4440012765342058,-0.46549524687882565,134.14173228346456,137.0,317,5,566842.9288334124,12.895736671561373,6.29630278540095,0.08047452248290407,0.2643603333148156
MUTHOOTFIN_ohlcv.csv,76,60,16,0.7894736842105263,0.1162327088140094,0.10234638256919636,1.2490770804036084,-0.34862368366208946,70.88157894736842,56.0,231,8,970.5042236189304,5.937152127176954,4.8370386680002255,0.06729262089232124,0.23662877175265976
AXISBANK_ohlcv.csv,151,119,32,0.7880794701986755,0.186549142233707,0.10999978682695151,1.6002687311026982,-0.40608394904306944,80.82781456953643,68.0,282,10,1478233003.8785048,259.94389776311914,8.34588732656207,0.10748195612140737,0.3268505504780584
ITC_ohlcv.csv,154,120,34,0.7792207792207793,0.13083486453883575,0.0973168438519707,0.682617365025377,-0.3242409501509051,132.64285714285714,102.0,411,5,21306477.04349605,49.77383107724053,7.224963876133929,0.07306362565155763,0.18752906823996224
TITAN_ohlcv.csv,147,114,33,0.7755102040816326,0.1414617216889137,0.09911083018900553,1.8293767159388594,-0.4093987967728493,68.83673469387755,57.0,187,2,11076593.818774328,192.83226036259032,6.118969277906465,0.07794829562450345,0.2593026370968114
PAGEIND_ohlcv.csv,87,67,20,0.7701149425287356,0.10690128436031932,0.09215402157091016,1.0571413887907188,-0.22743118642741775,78.8735632183908,58.0,203,7,2553.260632780866,69.24787144031752,7.063514951154281,0.05775126856247134,0.1805354468011849
SUNPHARMA_ohlcv.csv,160,123,37,0.76875,0.1489454050067302,0.09594490853854629,1.4807817830351389,-0.2491872031086668,113.83125,63.0,385,4,116859886.93692927,599.7947320172178,6.509337851864686,0.0800581551911175,0.2658002260053907
DMART_ohlcv.csv,42,32,10,0.7619047619047619,0.08908211993985507,0.09091974161435576,0.3000244877865489,-0.16117422274322007,86.78571428571429,91.0,184,11,28.00857007172712,2.8563727309110014,7.508704356528892,0.04666206282563837,0.11044521741045622
LT_ohlcv.csv,130,99,31,0.7615384615384615,0.16075642416004576,0.11998330193777407,1.7004044910474743,-0.5053777188320772,176.04615384615386,170.0,418,9,917300.7650608455,27.925686556658434,3.9943808240826275,0.08408797571448545,0.3663072225197905
HDFCLIFE_ohlcv.csv,46,35,11,0.7608695652173914,0.09665991192503261,0.08042287641739618,0.5186556533441824,-0.13134867608891726,116.52173913043478,112.5,279,11,47.47738983321682,0.7795258369334486,7.636493600573262,0.05043125839566919,0.14311506655654732
ULTRACEMCO_ohlcv.csv,120,91,29,0.7583333333333333,0.19596850643523364,0.14408804583961718,2.0473346660771554,-0.7026955026405982,150.775,112.0,445,3,16954803.112156678,10.27379070608849,6.895014844710874,0.10125039499153736,0.3558991894228062
BRITANNIA_ohlcv.csv,153,116,37,0.7581699346405228,0.13254623766244522,0.07732555697471115,1.056279761523732,-0.45168748847280343,130.58823529411765,103.0,412,7,11575669.134961538,271.18632821275014,6.920049284617795,0.0684389070283214,0.22562633259270642
BERGEPAINT_ohlcv.csv,105,79,26,0.7523809523809524,0.10267105135687858,0.08703620935467325,1.0017213260052398,-0.31726915878816275,112.60952380952381,72.0,345,2,6002.109162881062,148.974799633468,5.017020610764171,0.051824435446805386,0.2030521869662202
BAJFINANCE_ohlcv.csv,117,88,29,0.7521367521367521,0.26364051364434493,0.10673995179919572,5.585830064261254,-0.7693743353279695,127.62393162393163,114.0,363,7,1160097.3471918735,640.8918551366285,5.4549851271057435,0.13294692568390043,0.8108879841273011
DRREDDY_ohlcv.csv,157,118,39,0.7515923566878981,0.11036123498732513,0.07329312175958246,1.3456090337936952,-0.43997966279470463,93.5732484076433,86.0,237,7,620406.2564519745,47.89976651721327,4.725717543340078,0.05553208639489609,0.23022866175891882
RELIANCE_ohlcv.csv,179,134,45,0.7486033519553073,0.22312416368185986,0.13648402691829534,1.5566207753531138,-0.46600810995584097,293.536312849162,170.0,832,6,4775267831319.825,125.21163166864528,7.943581600665556,0.11093882998706997,0.3587228889695487
BAJAJ-AUTO_ohlcv.csv,123,92,31,0.7479674796747967,0.09022346280686762,0.08623193933868654,0.709418222924026,-0.5839064747763801,83.82113821138212,76.0,277,4,6722.094868359922,74.19761681205524,4.39633687814005,0.044744969359503436,0.17402710096741159
BOSCHLTD_ohlcv.csv,119,89,30,0.7478991596638656,0.11400320987169901,0.06430065194251827,0.9323953106796501,-0.3642968458405985,200.18487394957984,140.0,567,3,23190.67316054953,68.14887986997121,3.802210803172004,0.05652259985235497,0.2478548012833211
MARUTI_ohlcv.csv,114,85,29,0.7456140350877193,0.12373342423851418,0.10815048832713697,0.8371724771355572,-0.27145508611501834,146.90350877192984,116.5,411,4,114560.10798328028,32.019105232696006,5.788590726321884,0.06078133120488415,0.19502631275028476
ADANIPORTS_ohlcv.csv,98,73,25,0.7448979591836735,0.18466420638439232,0.09931299220088272,1.4463860518984144,-0.3742375819558067,129.8469387755102,117.0,311,3,625887.831228363,2.459629293524193,6.648894188644428,0.09044777455562074,0.33063404134065116
EICHERMOT_ohlcv.csv,152,113,39,0.743421052631579,0.20648728488299234,0.11976928622283572,1.9705437648653876,-0.4778947356953131,101.83552631578948,84.5,299,8,4442185328.719182,1939.0986604806183,8.054374280567012,0.10052670448250944,0.4046594011791798
HAVELLS_ohlcv.csv,123,91,32,0.7398373983739838,0.21167326070207318,0.10346470335524541,4.168838432591819,-0.7196304819099603,102.09756097560975,71.0,295,5,2208182.0410415116,536.4483688987004,6.605837350535668,0.1015343283042465,0.6024392531106969
BAJAJFINSV_ohlcv.csv,125,92,33,0.736,0.09057453944634089,0.08317364686989899,2.4004068988051226,-0.9919205985623459,86.48,68.0,251,6,-0.9997581491771347,7.778442477446729,2.1356030971628845,0.04275118261867289,0.40574981277753436
SRF_ohlcv.csv,121,89,32,0.7355371900826446,0.2660057355039863,0.0847665026456166,4.152071231099981,-0.5182138953262656,117.4297520661157,106.0,306,7,136361067.59567186,282.5161708384036,9.246897541763929,0.12530848697295222,0.6930181512875551
BHARTIARTL_ohlcv.csv,116,85,31,0.7327586206896551,0.08082427213578922,0.07882565650224044,0.4702387706040727,-0.2889289849109681,89.99137931034483,86.0,212,3,2883.36823943592,20.826231071168714,4.273295038065759,0.037625092201143254,0.14454512838607544
DIVISLAB_ohlcv.csv,119,87,32,0.7310924369747899,0.10121943834370589,0.08343663499850565,0.932660971231645,-0.511886535172482,96.73109243697479,82.0,228,7,8063.232284037341,244.6997036680615,3.8291738373140896,0.04678209335213296,0.22439762433921884
AMBUJACEM_ohlcv.csv,129,94,35,0.7286821705426356,0.12612005389132513,0.0937500149263384,1.033351452508505,-0.524599682786955,147.52713178294573,153.0,400,8,256854.95592918104,16.394350081783767,4.570536907170345,0.05768281534564482,0.23702530244178988
POWERGRID_ohlcv.csv,102,74,28,0.7254901960784313,0.11267999488648321,0.07038990648752258,0.7192867537458737,-0.2524699175230448,202.63725490196077,223.0,452,8,13725.23032555112,1.3838657203880138,6.831182308951649,0.05081646828213949,0.19139202201780645
GODREJCP_ohlcv.csv,105,76,29,0.7238095238095238,0.17198306054070167,0.07050610725945021,1.7874238332366796,-0.2514806854331588,117.9047619047619,76.0,435,4,309166.7409818372,71.57673041450138,7.638131009048518,0.07698289376583789,0.3914128040968984
BPCL_ohlcv.csv,176,127,49,0.7215909090909091,0.13394192036550123,0.10347417928331173,1.531218173334884,-0.35433189588172337,110.05113636363636,84.5,399,4,84808063.91285098,24.36913026692818,4.986022125074602,0.05936062379834713,0.2520988627722987
TATACONSUM_ohlcv.csv,182,131,51,0.7197802197802198,0.15855068456412405,0.11955316057854223,1.259586422727937,-0.5119588949751477,160.65934065934067,158.0,446,9,1543209201.147565,14.943774192669792,5.148129669293722,0.06969260859961496,0.2962312570006251
UPL_ohlcv.csv,121,87,34,0.71900826446281,0.2368048087518719,0.10421395921667174,2.402009259426274,-0.31730298811980706,128.49586776859505,109.0,371,8,332008064.2507318,26.862400745703496,9.590131102862648,0.10372442036239019,0.45837013915103964
HEROMOTOCO_ohlcv.csv,131,94,37,0.7175572519083969,0.12629390434346813,0.06766808549139747,1.4898206900398374,-0.377154679107512,178.1145038167939,115.0,538,11,215975.94170063033,19.224603827064957,4.703768625992121,0.05495230952349375,0.2754203278658034
ICICIPRULI_ohlcv.csv,49,35,14,0.7142857142857143,0.09634191812270025,0.08335903026391323,0.6877580394876607,-0.21361505452050444,75.9795918367347,76.0,160,16,46.13668806864371,1.1173941175592488,4.481516556088083,0.04128939348115725,0.18715421937830384
M&M_ohlcv.csv,155,109,46,0.7032258064516129,0.12621293744515175,0.07838152688151548,1.7406930937065834,-0.6284319624870905,114.06451612903226,87.0,339,8,127542.69149097528,44.021144588488056,3.489119474468802,0.05129945199383587,0.3541503435369786
JSWSTEEL_ohlcv.csv,142,99,43,0.6971830985915493,0.16713334446962977,0.141255519621927,1.3961940163829885,-0.7453866982875967,127.77464788732394,109.0,285,16,2956927.9755484727,20.80022232936013,3.797649250131615,0.06591174148098075,0.3511197724469783
ADANIENT_ohlcv.csv,124,86,38,0.6935483870967742,0.5731986225905565,0.14240035721457323,18.402704822502916,-0.5569048853572086,118.4758064516129,101.5,326,8,525239504099.0885,425593.66101324063,12.68451354039694,0.22188333777698968,2.329678620574486
INDUSINDBK_ohlcv.csv,115,78,37,0.6782608695652174,0.15169630466512193,0.08008150643303273,1.6234679182627076,-0.6746648492284704,147.89565217391305,137.0,413,5,30632.61135624893,145.57589331661114,3.364499415390978,0.05408303035886955,0.37456255357448165
SBIN_ohlcv.csv,165,111,54,0.6727272727272727,0.09748673466710422,0.07100270219094798,0.9885471774708054,-0.4376881422822587,122.58181818181818,109.0,378,2,97685.96823310055,14.818281672929999,3.1252070225206636,0.03367723561227237,0.24163131637361981
GRASIM_ohlcv.csv,128,86,42,0.671875,0.10734024223801604,0.05928310917829408,1.3312946090581843,-0.6802882002780674,115.8203125,106.0,258,8,5296.1792241155335,21.30019323070727,3.2161987628865067,0.036898208269318014,0.2996033064259973
WIPRO_ohlcv.csv,175,114,61,0.6514285714285715,0.13871352123217787,0.05684439186496678,2.5322662678686427,-0.7521914540481004,110.94285714285714,91.0,401,5,168958.82078430866,349.25379183378277,3.240498215506651,0.042010380716031026,0.4689554147021347
NTPC_ohlcv.csv,134,87,47,0.6492537313432836,0.19050759192821018,0.09259333643219356,1.4314978229159065,-0.275208440057316,383.5820895522388,460.0,760,11,81471677.37910528,2.784202258180785,6.152568756884963,0.05686793788901795,0.3587877728918926
INFY_ohlcv.csv,151,98,53,0.6490066225165563,0.06731164334750467,0.05423768821386083,1.0406516667390044,-0.6015129924805281,103.41059602649007,82.0,381,7,448.1054011865141,1241.4671707993466,2.3781974451558363,0.02005976126250139,0.2388328423115331
COALINDIA_ohlcv.csv,89,57,32,0.6404494382022472,0.09762767594201002,0.05715822946982056,0.7816330378672488,-0.46261116900823535,220.74157303370785,188.0,499,13,230.1379028835589,1.3788204299915874,2.7721617145034827,0.0274235044780927,0.2806361286061165
TATASTEEL_ohlcv.csv,183,117,66,0.639344262295082,0.2869855518036135,0.11578084185238793,3.527001952761498,-0.8029753838904802,287.6448087431694,176.0,834,16,160548521871.92834,16.738370555679136,4.70657483019385,0.07997958001084314,0.6731982570608784
GAIL_ohlcv.csv,144,92,52,0.6388888888888888,0.07166355158440801,0.05812647378189882,0.9129267532481685,-0.45033607342526794,102.04861111111111,88.0,526,8,1395.6071232698705,6.844587546578604,2.5770097062719692,0.019906542106779997,0.21404040192338436
VOLTAS_ohlcv.csv,124,79,45,0.6370967741935484,0.20620669777642375,0.11016570983025357,2.863807519676067,-0.8024945929312133,132.68548387096774,119.5,354,9,402585.117685322,4741.9639751239765,4.066939242516146,0.05654054616450327,0.548179314222853
HINDALCO_ohlcv.csv,165,103,62,0.6242424242424243,0.15340419305928793,0.05949728877046043,2.055567888500011,-0.6195194337089263,120.2,116.0,285,6,418748.9006566365,4.635543094988322,3.1752093204041953,0.03811861766927762,0.45105381640600045
AUROPHARMA_ohlcv.csv,177,110,67,0.6214689265536724,0.31370631840279123,0.11019557593081546,3.0566142835179657,-0.7484991274219356,221.89265536723164,228.0,413,4,202670976174.83167,158.02860682858943,4.393945982899783,0.07621113949898321,0.7061298785733973
ONGC_ohlcv.csv,161,97,64,0.6024844720496895,0.034151599987248,0.04704281974295729,0.778609615554959,-0.4610329661015926,110.83229813664596,99.0,371,4,3.318493593657026,13.25481983652479,1.4906742749219284,0.007000017388690586,0.22636204497388787
TECHM_ohlcv.csv,104,61,43,0.5865384615384616,0.08196654454973587,0.06059392732805667,0.9288032787351745,-0.6556147671318353,164.05769230769232,152.0,397,7,82.36692497881302,6.8656192836235395,2.276551447029735,0.014186517325915832,0.28285352159982363
TATAMOTORS_ohlcv.csv,220,120,100,0.5454545454545454,0.13331553261032852,0.060027058499487404,3.9702755348197227,-0.7499858023735289,248.8590909090909,210.5,614,4,-0.6630976854875665,30.577236745094737,1.954202436011981,0.012119593873666214,0.5997875031896588
